Year,popSizeP1,PiP1,FitnessP1,meanHetP1,BP1,FROHP1,avgvStrDelP1,avgStrDelP1,avgModDelP1,avgWkDelP1,avgNeutP1,KCrater,Seed
54354,4977,2.57933e-05,0.990429,2.88343e-05,0.211779,0.231566,0.4,4.4,11.9,74.9,202.4,100,2642959719
54356,4971,2.6289e-05,0.990462,2.85714e-05,0.166254,0.216435,0.2,4.8,12.3,76.2,198.9,100,2642959719
54358,4873,2.60651e-05,0.990467,2.86171e-05,0.209948,0.224283,0.1,5.0,11.1,75.8,208.1,100,2642959719
54360,4936,2.5976e-05,0.990512,2.85943e-05,0.176055,0.229207,0.3,4.6,13.2,76.4,202.2,100,2642959719
54362,4958,2.54597e-05,0.990556,2.856e-05,0.247744,0.24806,0.1,4.6,12.2,81.2,203.2,100,2642959719
54364,4911,2.58047e-05,0.990596,2.89714e-05,0.154924,0.219865,0.3,3.6,14.4,77.9,199.0,100,2642959719
54366,4933,2.61862e-05,0.990525,2.92571e-05,0.179453,0.218624,0.4,3.7,13.7,76.3,204.7,100,2642959719
54368,4926,2.54734e-05,0.990579,2.94743e-05,0.319245,0.205603,0.5,5.6,12.2,80.1,200.2,100,2642959719
54370,4973,2.67527e-05,0.990564,3.02971e-05,0.163641,0.191223,0.1,4.2,13.8,76.8,212.5,100,2642959719
54372,5013,2.62045e-05,0.990574,2.82857e-05,0.190359,0.242609,0.2,5.2,12.1,75.3,197.0,100,2642959719
54374,4908,2.62273e-05,0.990554,2.75886e-05,0.158928,0.251778,0.1,3.3,11.9,73.4,202.1,100,2642959719
54376,4939,2.60857e-05,0.990677,2.72686e-05,0.250873,0.266961,0.3,3.9,12.2,75.7,205.1,100,2642959719
54378,4946,2.66134e-05,0.990589,2.87771e-05,0.412461,0.220847,0.6,5.2,13.0,77.0,205.2,100,2642959719
54380,4921,2.57887e-05,0.990501,2.83886e-05,0.206591,0.240144,0.4,4.5,12.1,78.9,201.9,100,2642959719
54382,4967,2.62364e-05,0.990546,2.90971e-05,0.223046,0.228989,0.4,3.9,13.1,79.0,203.2,100,2642959719
54384,4930,2.59258e-05,0.990443,2.94629e-05,0.379955,0.225641,0.4,3.8,12.4,80.4,208.0,100,2642959719
54386,4950,2.64603e-05,0.99047,2.85029e-05,0.304963,0.215026,0.5,4.9,12.9,79.1,197.0,100,2642959719
54388,4945,2.55054e-05,0.990345,2.92457e-05,0.185952,0.205731,0.3,4.7,13.3,76.4,206.8,100,2642959719
54390,4955,2.58412e-05,0.990358,2.88686e-05,0.260941,0.20696,0.6,4.8,13.2,76.2,207.5,100,2642959719
54392,4983,2.63507e-05,0.990414,2.88114e-05,0.299467,0.228796,0.5,4.7,12.0,80.5,203.5,100,2642959719
54394,4956,2.52496e-05,0.99035,2.90057e-05,0.202006,0.241252,0.2,4.0,12.7,78.0,206.7,100,2642959719
54396,4955,2.60286e-05,0.990346,2.90857e-05,0.226189,0.236657,0.3,5.2,14.7,74.4,210.3,100,2642959719
54398,4923,2.65083e-05,0.990402,2.96343e-05,0.352806,0.219976,0.5,3.9,13.3,82.7,209.3,100,2642959719
54400,4948,2.55991e-05,0.990327,2.91429e-05,0.286223,0.215681,0.3,4.7,13.2,76.4,199.6,100,2642959719
54402,5013,2.55306e-05,0.99032,2.88686e-05,0.207133,0.231106,0.3,4.6,12.1,75.3,206.1,100,2642959719
54404,4926,2.57247e-05,0.990467,2.86857e-05,0.242862,0.232715,0.3,5.2,12.2,79.7,202.7,100,2642959719
54406,4925,2.59326e-05,0.990365,2.86286e-05,0.261428,0.23328,0.2,4.8,13.7,77.6,206.9,100,2642959719
54408,4921,2.56288e-05,0.990494,3.01486e-05,0.380049,0.203788,0.3,4.8,13.3,75.7,211.2,100,2642959719
54410,4992,2.58344e-05,0.990564,2.91314e-05,0.216832,0.208787,0.3,6.1,13.9,78.3,200.0,100,2642959719
54412,4958,2.6972e-05,0.990579,2.83886e-05,0.235634,0.243545,0.5,4.9,10.0,77.1,206.6,100,2642959719
54414,4914,2.64946e-05,0.990471,2.808e-05,0.19015,0.251559,0.2,3.9,12.7,73.4,202.2,100,2642959719
54416,4993,2.60811e-05,0.99058,2.896e-05,0.267074,0.223464,0.2,4.3,11.2,81.0,203.8,100,2642959719
54418,4963,2.58938e-05,0.990579,2.92571e-05,0.282375,0.235932,0.2,6.0,12.1,76.7,208.8,100,2642959719
54420,5041,2.62273e-05,0.990499,2.872e-05,0.181497,0.236651,0.3,4.0,12.3,76.1,203.1,100,2642959719
54422,4926,2.53889e-05,0.990496,2.92e-05,0.162054,0.209228,0.1,5.1,14.7,76.1,209.0,100,2642959719
